iter	Logloss
0	0.6655610016
1	0.6319678742
2	0.6097836155
3	0.5770885356
4	0.5514230598
5	0.5334631124
6	0.5152444528
7	0.495409042
8	0.4786738978
9	0.4613164726
10	0.4457101057
11	0.4306708857
12	0.4151434508
13	0.3977350443
14	0.3882937464
15	0.3788203704
16	0.3688617425
17	0.3596058864
18	0.3494562709
19	0.3410234319
20	0.3330581029
21	0.3253208262
22	0.3184043276
23	0.3150784278
24	0.3064623056
25	0.2972645147
26	0.2909204382
27	0.288035432
28	0.2824688825
29	0.2788472081
30	0.2722620203
31	0.2651579274
32	0.2605287743
33	0.2564402465
34	0.2523436149
35	0.2478089683
36	0.2434873493
37	0.2402474946
38	0.2371650272
39	0.2319244144
40	0.2292438753
41	0.2257377072
42	0.2229897061
43	0.2205064659
44	0.2167762018
45	0.2147038438
46	0.211592861
47	0.2082397578
48	0.2052916492
49	0.2036338556
50	0.2018520401
51	0.1988769414
52	0.1972264384
53	0.1952302791
54	0.1927430756
55	0.1918694285
56	0.1907327922
57	0.1893369179
58	0.1882255949
59	0.1852342473
60	0.1824140926
61	0.1807695705
62	0.1791609398
63	0.1774460379
64	0.1758096089
65	0.1732858708
66	0.171265628
67	0.1701822929
68	0.1691798595
69	0.1679363676
70	0.166863469
71	0.1642864593
72	0.1615959908
73	0.159580456
74	0.1578111978
75	0.1563940115
76	0.1553048861
77	0.1536600307
78	0.1522975169
79	0.150694673
80	0.1492761977
81	0.1477067189
82	0.1473063141
83	0.1463269177
84	0.1450897726
85	0.1433606387
86	0.1414734813
87	0.1403480083
88	0.1388755716
89	0.1378165564
90	0.137053464
91	0.1358923576
92	0.1341125269
93	0.1331201473
94	0.1322727869
95	0.1309202895
96	0.1300038602
97	0.1286499595
98	0.1277975851
99	0.1262354518
100	0.1251892967
101	0.1245292089
102	0.1237914086
103	0.1225407172
104	0.1214610544
105	0.1206883602
106	0.1187045488
107	0.1181033503
108	0.1171782646
109	0.1157997431
110	0.1147276164
111	0.1137022398
112	0.1126332022
113	0.1118894936
114	0.1109274037
115	0.1102689494
116	0.108922334
117	0.1085145063
118	0.1073263537
119	0.1070933662
120	0.1064750173
121	0.1057246843
122	0.1051915368
123	0.1045723585
124	0.1031793514
125	0.1024343915
126	0.1015183501
127	0.1005814639
128	0.09964323602
129	0.09893182837
130	0.09826144192
131	0.09724709761
132	0.09633751886
133	0.09559897553
134	0.09481950424
135	0.09456332268
136	0.09409998518
137	0.0932369059
138	0.09232025151
139	0.09133899405
140	0.09112970304
141	0.08987427882
142	0.08953319115
143	0.0888119022
144	0.08817753474
145	0.08776666149
146	0.08702502059
147	0.08613977604
148	0.08531616105
149	0.08474660196
150	0.0842331923
151	0.0831155876
152	0.08252661947
153	0.08206682068
154	0.08157006066
155	0.08108129387
156	0.08042500795
157	0.07988702557
158	0.07926146058
159	0.07829774923
160	0.07786009997
161	0.07743547851
162	0.07697510981
163	0.07643877287
164	0.07613211231
165	0.07581585993
166	0.07522039275
167	0.07456197184
168	0.07389015972
169	0.07313310989
170	0.07239192403
171	0.0718436713
172	0.07113584582
173	0.07075189812
174	0.07027852439
175	0.06947723026
176	0.06930709202
177	0.06896675678
178	0.06852914802
179	0.06786402987
180	0.06727791983
181	0.06687680301
182	0.06632523415
183	0.06583951626
184	0.06531300281
185	0.06486866855
186	0.06441007282
187	0.06373207749
188	0.06307212188
